,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.60,3.01,15.83,32.87,51.90,70.74,82.57,92.59
torb,3.21,8.62,26.45,44.69,60.52,74.75,81.76,90.18
sift,0.60,3.81,17.03,34.87,54.71,71.54,81.36,89.98
tsift,1.00,5.01,23.45,46.49,65.53,81.96,89.58,95.19
spoint,0.20,2.00,13.40,27.20,41.40,54.00,59.20,66.60
tspoint,0.20,1.20,10.60,25.60,37.40,46.80,50.40,56.00
sphorb,0.60,3.81,27.86,47.29,64.73,78.36,87.98,94.99
