,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,2.75,6.75,16.50,31.75,47.75,64.00
torb,0.50,1.50,8.27,16.54,29.82,44.36,56.64,67.92
sift,0.25,1.52,4.05,12.91,25.32,43.54,58.99,73.16
tsift,0.51,1.53,7.93,22.76,46.80,69.31,78.26,85.17
spoint,0.00,0.50,5.75,15.25,26.50,36.50,43.00,49.50
tspoint,0.00,0.25,5.00,10.25,23.25,37.50,45.00,52.25
sphorb,0.25,1.25,6.77,16.79,30.83,49.87,58.15,66.92
