,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.25,0.50,1.50,6.50,20.00,37.25,53.50
torb,0.00,0.25,1.00,4.25,11.00,30.25,46.25,62.50
sift,0.00,0.25,1.01,4.55,11.62,29.55,45.71,62.88
tsift,0.77,1.02,2.56,8.70,23.02,54.22,70.59,81.07
spoint,0.00,0.25,3.00,7.50,17.25,28.75,36.00,41.75
tspoint,0.00,0.00,1.50,5.25,14.00,30.50,40.00,49.25
sphorb,0.00,0.00,1.75,6.75,18.50,42.25,55.50,66.00
