,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.60,2.61,6.41,16.23,28.46,48.90,65.33,78.16
torb,0.60,3.21,13.23,24.25,40.08,58.92,69.14,78.16
sift,0.60,1.40,5.61,12.63,25.05,46.29,60.92,71.14
tsift,0.60,1.00,8.22,21.64,45.29,69.54,80.96,87.58
spoint,0.20,2.00,4.80,15.40,27.00,42.20,51.20,57.00
tspoint,0.00,0.20,3.02,11.09,26.21,42.14,48.79,53.43
sphorb,0.40,1.00,8.02,23.65,45.29,67.13,78.36,89.58
